Set parameter TimeLimit to value 7200
Setting GBD: A two-stage implementation of the stage-of-the-art generalized Benders decomposition (GBD) approach proposed by Lin & Tian (2021).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
366         1517714.513    1892117.677    19.8     551.7         1
367         1517714.513    1892117.677    19.8     552.8         1
368         1517714.513    1892117.677    19.8     554.0         1
369         1517714.513    1892117.677    19.8     555.0         1
370         1517714.513    1892117.677    19.8     556.1         1
371         1517714.513    1892117.677    19.8     557.2         1
372         1517714.513    1892117.677    19.8     558.5         1
373         1517714.513    1892117.677    19.8     559.6         1
374         1517714.513    1892117.677    19.8     560.7         1
375         1517714.513    1892117.677    19.8     561.8         1
376         1517714.513    1892117.677    19.8     562.9         1
377         1517714.513    1892117.677    19.8     564.0         1
378         1517714.513    1892117.677    19.8     565.1         1
379         1517714.513    1892117.677    19.8     566.2         1
380         1517714.513    1892117.677    19.8     567.2         1
381         1517714.513    1892117.677    19.8     568.3         1
382         1517714.513    1892117.677    19.8     569.4         1
383         1517714.513    1892117.677    19.8     570.5         1
384         1517714.513    1892117.677    19.8     571.6         1
385         1517714.513    1892117.677    19.8     572.7         1
386         1517714.513    1892117.677    19.8     574.0         1
387         1517714.513    1892117.677    19.8     575.1         1
388         1517714.513    1892117.677    19.8     576.1         1
389         1517714.513    1892117.677    19.8     577.3         1
390         1517714.513    1892117.677    19.8     578.5         1
391         1517714.513    1892117.677    19.8     579.6         1
392         1517714.513    1892117.677    19.8     580.7         1
393         1517714.513    1892117.677    19.8     581.8         1
394         1517714.513    1892117.677    19.8     582.9         1
395         1517714.513    1892117.677    19.8     584.0         1
396         1517714.513    1892117.677    19.8     585.1         1
397         1517714.513    1892117.677    19.8     586.2         1
398         1517714.513    1892117.677    19.8     587.3         1
399         1517714.513    1892117.677    19.8     588.5         1
400         1517714.513    1892117.677    19.8     589.7         1
401         1517714.513    1892117.677    19.8     590.8         1
402         1517714.513    1892117.677    19.8     591.9         1
403         1517714.513    1892117.677    19.8     593.0         1
404         1517714.513    1892117.677    19.8     594.1         1
405         1517714.513    1892117.677    19.8     595.2         1
406         1517714.513    1892117.677    19.8     596.3         1
407         1517714.513    1892117.677    19.8     597.3         1
408         1517714.513    1892117.677    19.8     598.4         1
409         1517714.513    1892117.677    19.8     599.5         1
410         1517714.513    1892117.677    19.8     600.6         1
411         1517714.513    1892117.677    19.8     601.7         1
412         1517714.513    1892117.677    19.8     603.0         1
413         1517714.513    1892117.677    19.8     604.1         1
414         1517714.513    1892117.677    19.8     605.2         1
415         1517714.513    1892117.677    19.8     606.2         1
416         1517714.513    1892117.677    19.8     607.3         1
417         1517714.513    1892117.677    19.8     608.5         1
418         1517714.513    1892117.677    19.8     609.6         1
419         1517714.513    1892117.677    19.8     610.8         1
420         1517714.513    1892117.677    19.8     611.9         1
421         1517714.513    1892117.677    19.8     613.0         1
422         1517714.513    1892117.677    19.8     614.1         1
423         1517714.513    1892117.677    19.8     615.3         1
424         1517714.513    1892117.677    19.8     616.5         1
425         1517714.513    1892117.677    19.8     617.9         1
426         1517714.513    1892117.677    19.8     619.2         1
427         1517714.513    1892117.677    19.8     620.4         1
428         1517714.513    1892117.677    19.8     621.6         1
429         1517714.513    1892117.677    19.8     622.8         1
430         1517714.513    1892117.677    19.8     624.1         1
431         1517714.513    1892117.677    19.8     625.3         1
432         1517714.513    1892117.677    19.8     626.7         1
433         1517714.513    1892117.677    19.8     628.0         1
434         1517714.513    1892117.677    19.8     629.4         1
435         1517714.513    1892117.677    19.8     630.8         1
436         1517714.513    1892117.677    19.8     632.2         1
437         1517714.513    1892117.677    19.8     633.8         1
438         1517714.513    1892117.677    19.8     635.3         1
439         1517714.513    1892117.677    19.8     636.7         1
440         1517714.513    1892117.677    19.8     638.2         1
441         1517714.513    1892117.677    19.8     639.6         1
442         1517714.513    1892117.677    19.8     641.0         1
443         1517714.513    1892117.677    19.8     642.5         1
444         1517714.513    1892117.677    19.8     643.9         1
445         1517714.513    1892117.677    19.8     645.4         1
446         1517714.513    1892117.677    19.8     646.8         1
447         1517714.513    1892117.677    19.8     648.2         1
448         1517714.513    1892117.677    19.8     649.4         1
449         1517714.513    1892117.677    19.8     650.5         1
450         1517714.513    1892117.677    19.8     651.7         1
451         1517714.513    1892117.677    19.8     652.9         1
452         1517714.513    1892117.677    19.8     654.1         1
453         1517714.513    1892117.677    19.8     655.2         1
454         1517714.513    1892117.677    19.8     656.4         1
455         1517714.513    1892117.677    19.8     657.6         1
456         1517714.513    1892117.677    19.8     658.7         1
457         1517714.513    1892117.677    19.8     659.9         1
458         1517714.513    1892117.677    19.8     661.0         1
459         1517714.513    1892117.677    19.8     662.1         1
460         1517714.513    1892117.677    19.8     663.5         1
461         1517714.513    1892117.677    19.8     664.6         1
462         1517714.513    1892117.677    19.8     665.8         1
463         1517714.513    1892117.677    19.8     666.9         1
464         1517714.513    1892117.677    19.8     668.0         1
465         1517714.513    1892117.677    19.8     669.2         1
466         1517714.513    1892117.677    19.8     670.3         1
467         1517714.513    1892117.677    19.8     671.6         1
468         1517714.513    1892117.677    19.8     672.9         1
469         1517714.513    1892117.677    19.8     674.1         1
470         1517714.513    1892117.677    19.8     675.5         1
471         1517714.513    1892117.677    19.8     676.7         1
472         1517714.513    1892117.677    19.8     678.1         1
473         1517714.513    1892117.677    19.8     679.4         1
474         1517714.513    1892117.677    19.8     680.6         1
475         1517714.513    1892117.677    19.8     681.9         1
476         1517714.513    1892117.677    19.8     683.0         1
477         1517714.513    1892117.677    19.8     684.1         1
478         1517714.513    1892117.677    19.8     685.3         1
479         1517714.513    1892117.677    19.8     686.6         1
480         1517714.513    1892117.677    19.8     687.9         1
481         1517714.513    1892117.677    19.8     689.3         1
482         1517714.513    1892117.677    19.8     690.7         1
