    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 12577  8445 177572.463   25  111 175978.728 178239.380  1.28%  91.1  880s
 12672  8492 178073.829   23  116 175978.728 178237.354  1.28%  90.9  885s
 12752  8546 177023.013   36  100 175978.728 178236.616  1.28%  90.9  890s
 12824  8600 177041.666   31   89 175978.728 178233.695  1.28%  91.0  895s
 12911  8665 177667.914   30  102 175978.728 178232.929  1.28%  91.0  900s
 12997  8731 177192.244   34  113 175978.728 178229.549  1.28%  90.9  905s
 13056  8782 176318.227   34   83 175978.728 178228.183  1.28%  91.1  910s
 13139  8846 176307.922   44   83 175978.728 178226.550  1.28%  91.0  915s
 13225  8899 177800.502   27  108 175978.728 178224.240  1.28%  91.0  920s
 13312  8978 176025.248   52   47 175978.728 178223.254  1.28%  91.1  925s
 13388  9028 177750.298   24  109 175978.728 178222.024  1.27%  91.0  930s
 13457  9082 177708.275   31  114 175978.728 178219.711  1.27%  91.0  935s
 13534  9135 177647.839   26  111 175978.728 178219.390  1.27%  91.0  940s
 13665  9207     cutoff   45      175978.728 178219.390  1.27%  90.9  945s
 13737  9261 177322.684   32   99 175978.728 178217.278  1.27%  90.9  950s
 13824  9338     cutoff   53      175978.728 178217.265  1.27%  91.0  955s
 13902  9376 177829.433   28  108 175978.728 178216.546  1.27%  91.0  960s
 13973  9429 176995.994   36   92 175978.728 178215.936  1.27%  91.0  965s
 14064  9496 177947.680   29  111 175978.728 178215.012  1.27%  90.9  970s
 14136  9546 177757.896   26  113 175978.728 178214.040  1.27%  90.9  975s
 14199  9597 176701.873   38   82 175978.728 178212.191  1.27%  91.0  980s
 14287  9665 177190.716   33  107 175978.728 178210.713  1.27%  91.1  985s
 14359  9718 177020.174   36  106 175978.728 178209.717  1.27%  91.1  990s
 14435  9767 178027.916   26  116 175978.728 178209.315  1.27%  91.1  995s
 14482  9806 176914.208   38  104 175978.728 178208.836  1.27%  91.1 1007s
 14525  9827 176889.792   35  100 175978.728 178208.795  1.27%  91.1 1010s
 14586  9880 176602.895   43   82 175978.728 178208.728  1.27%  91.2 1015s
 14681  9955 177273.667   33   93 175978.728 178207.294  1.27%  91.2 1020s
 14703  9969 177759.934   28  108 175978.728 178206.239  1.27%  91.2 1028s
 14731  9989     cutoff   51      175978.728 178206.239  1.27%  91.2 1030s
 14800 10038 177619.490   28  110 175978.728 178203.701  1.26%  91.2 1035s
 14870 10088 177129.562   31  107 175978.728 178200.858  1.26%  91.2 1040s
 14937 10139 176001.192   47   68 175978.728 178198.999  1.26%  91.2 1064s
 14944 10136     cutoff   48      175978.728 178198.999  1.26%  91.2 1065s
 14992 10170 177766.738   27  110 175978.728 178198.165  1.26%  91.3 1070s
 15062 10228 177397.980   31  107 175978.728 178197.685  1.26%  91.3 1075s
 15147 10293 178010.703   24  110 175978.728 178196.944  1.26%  91.4 1080s
 15225 10350 177036.160   33   98 175978.728 178196.326  1.26%  91.4 1085s
 15297 10399 177074.247   30   91 175978.728 178195.210  1.26%  91.5 1090s
 15381 10455 177897.854   25  112 175978.728 178193.758  1.26%  91.5 1095s
 15474 10502 176044.982   52   84 175978.728 178193.600  1.26%  91.4 1100s
 15562 10575 178001.993   25  116 175978.728 178192.605  1.26%  91.4 1105s
 15636 10628 176852.836   37   78 175978.728 178190.836  1.26%  91.4 1110s
 15712 10682 177054.048   37   97 175978.728 178189.051  1.26%  91.5 1115s
 15801 10741 177872.553   25  118 175978.728 178187.086  1.25%  91.4 1120s
 15868 10786 178021.180   23  105 175978.728 178183.508  1.25%  91.3 1125s
 15955 10863 176491.497   43   69 175978.728 178183.228  1.25%  91.4 1130s
 16048 10931 176179.066   47   82 175978.728 178182.397  1.25%  91.3 1135s
 16116 10975 176627.781   39   83 175978.728 178181.473  1.25%  91.4 1140s
 16200 11037 176595.965   42   84 175978.728 178181.229  1.25%  91.4 1145s
 16288 11093 177751.424   26  108 175978.728 178179.463  1.25%  91.4 1150s
 16383 11149 177514.889   29   96 175978.728 178178.570  1.25%  91.3 1155s
 16491 11234 178019.645   23  113 175978.728 178177.882  1.25%  91.2 1160s
 16559 11284 177526.572   28  111 175978.728 178177.073  1.25%  91.2 1165s
 16628 11338 176759.141   36   86 175978.728 178176.431  1.25%  91.2 1170s
 16692 11386 176948.587   34   85 175978.728 178175.726  1.25%  91.3 1175s
 16774 11436 177209.105   35  105 175978.728 178174.923  1.25%  91.3 1180s
 16870 11519 176138.645   60   42 175978.728 178174.753  1.25%  91.3 1185s
 16959 11588 177547.201   26  110 175978.728 178172.375  1.25%  91.3 1190s
 17054 11654     cutoff   51      175978.728 178171.008  1.25%  91.2 1195s
 17127 11693 176525.368   40   98 175978.728 178168.698  1.24%  91.2 1200s
 17211 11749 177145.528   30   89 175978.728 178167.356  1.24%  91.2 1205s
 17289 11817 177354.810   30   90 175978.728 178166.633  1.24%  91.4 1210s
 17405 11912 177962.470   24  114 175978.728 178166.079  1.24%  91.3 1215s
 17480 11963 177193.554   31  100 175978.728 178165.632  1.24%  91.2 1220s
 17552 12014 176708.511   35   77 175978.728 178164.336  1.24%  91.2 1225s
 17638 12060 177789.321   25  108 175978.728 178163.700  1.24%  91.2 1230s
 17702 12114 176563.530   41   74 175978.728 178163.602  1.24%  91.2 1235s
 17784 12170 177201.793   36   90 175978.728 178163.528  1.24%  91.3 1240s
 17904 12261 178084.915   22  114 175978.728 178160.837  1.24%  91.2 1245s
 17973 12313 177414.732   31  100 175978.728 178160.003  1.24%  91.1 1250s
 18050 12366 177007.176   35  103 175978.728 178158.682  1.24%  91.1 1255s
 18141 12425 177688.016   26  103 175978.728 178155.316  1.24%  91.0 1260s
 18240 12495 177788.619   27  111 175978.728 178154.206  1.24%  91.0 1265s
 18311 12535 177965.701   24  114 175978.728 178153.698  1.24%  91.0 1270s
 18377 12587 177467.703   27  103 175978.728 178153.582  1.24%  91.2 1275s
 18450 12642 177329.986   32  104 175978.728 178151.776  1.23%  91.2 1280s
 18535 12709 177961.277   25  111 175978.728 178151.380  1.23%  91.2 1285s
 18605 12761 177287.116   35  111 175978.728 178150.699  1.23%  91.2 1290s
 18698 12828     cutoff   51      175978.728 178149.674  1.23%  91.2 1295s
 18762 12874 177586.848   28  101 175978.728 178147.158  1.23%  91.3 1300s
 18837 12927 177523.298   27  106 175978.728 178146.108  1.23%  91.3 1305s
