Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2447   795     cutoff   30      246941.036 247468.865  0.21%   128  520s
  2465   797 247315.071   22  122 246941.036 247462.196  0.21%   128  526s
  2495   809 247283.994   22  130 246941.036 247459.421  0.21%   128  531s
  2510   814 247242.717   17  150 246941.036 247459.394  0.21%   128  536s
  2525   816 247030.640   19  145 246941.036 247459.112  0.21%   128  540s
  2546   816 247167.378   22  130 246941.036 247458.114  0.21%   128  545s
  2562   824 247052.664   27  117 246941.036 247457.892  0.21%   128  553s
  2576   826 247236.764   20  147 246941.036 247455.884  0.21%   128  555s
  2588   838 247015.307   32  118 246941.036 247455.884  0.21%   128  560s
  2610   839 247323.541   20  138 246941.036 247454.372  0.21%   128  565s
  2631   848 247170.273   23  131 246941.036 247451.831  0.21%   128  570s
  2648   855 247216.639   24  125 246941.036 247443.586  0.20%   128  575s
  2666   865 247075.478   25  130 246941.036 247443.345  0.20%   128  580s
  2691   868     cutoff   26      246941.036 247442.981  0.20%   128  585s
  2717   874 247073.003   28  121 246941.036 247441.533  0.20%   128  591s
  2747   874 247172.143   19  124 246941.036 247441.304  0.20%   128  597s
  2763   876 247222.638   20  131 246941.036 247440.732  0.20%   128  600s
