    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5118  3328 247285.585   26  126 245493.286 248033.493  1.03%   121  640s
  5134  3344 246572.751   42  104 245493.286 248033.493  1.03%   121  645s
  5181  3384 247183.017   30  119 245493.286 248033.300  1.03%   121  650s
  5229  3424 247242.164   27  126 245493.286 248031.195  1.03%   121  655s
  5272  3458 247573.732   19  141 245493.286 248012.085  1.03%   121  660s
H 5294  3287                    245606.54708 248012.085  0.98%   122  665s
  5325  3303 247273.283   24  144 245606.547 248011.764  0.98%   122  670s
  5349  3327 245743.970   48  110 245606.547 248011.764  0.98%   122  675s
  5372  3327 247802.842   18  156 245606.547 248011.737  0.98%   122  680s
  5392  3347 246519.673   38  127 245606.547 248011.737  0.98%   122  685s
  5423  3359 247582.901   17  151 245606.547 248011.737  0.98%   122  692s
  5433  3369 247157.330   24  140 245606.547 248011.737  0.98%   122  695s
  5471  3407 246079.502   51  101 245606.547 248011.737  0.98%   122  700s
  5505  3429 247206.885   24  137 245606.547 248011.633  0.98%   122  705s
  5536  3460 245718.516   55   90 245606.547 248011.633  0.98%   122  710s
  5559  3475 246993.826   25  138 245606.547 248003.084  0.98%   123  715s
  5608  3524 246173.301   50   98 245606.547 248003.084  0.98%   123  720s
  5644  3548 247338.825   22  143 245606.547 247997.506  0.97%   123  725s
  5673  3577 246005.324   51  109 245606.547 247997.506  0.97%   123  730s
  5700  3596 246854.299   32  121 245606.547 247997.213  0.97%   123  735s
  5730  3622 245677.240   60   92 245606.547 247997.213  0.97%   123  740s
  5768  3650 246413.337   51  104 245606.547 247989.736  0.97%   123  745s
  5804  3678 247000.394   27  121 245606.547 247988.757  0.97%   124  750s
  5832  3700 247346.692   21  149 245606.547 247987.123  0.97%   124  755s
  5856  3724 246073.012   45  127 245606.547 247987.123  0.97%   124  760s
  5882  3738 247109.286   28  121 245606.547 247986.068  0.97%   124  765s
  5938  3780 247345.628   24  140 245606.547 247982.424  0.97%   124  770s
  5965  3806 245794.972   51  119 245606.547 247982.424  0.97%   124  775s
  5980  3811 247238.954   20  152 245606.547 247981.717  0.97%   124  780s
  5992  3823 246789.988   24  140 245606.547 247981.717  0.97%   124  785s
  6018  3849 245728.020   34  120 245606.547 247981.717  0.97%   125  790s
  6047  3862 246788.262   31  138 245606.547 247981.717  0.97%   125  795s
  6081  3896 245965.984   54  110 245606.547 247981.717  0.97%   125  800s
  6107  3910 247446.649   19  155 245606.547 247980.466  0.97%   125  805s
  6125  3928 246145.126   37  124 245606.547 247980.466  0.97%   125  810s
  6153  3944 247126.790   30  135 245606.547 247979.050  0.97%   125  815s
  6181  3972 245848.321   58  108 245606.547 247979.050  0.97%   125  820s
  6209  3988 246730.513   37  116 245606.547 247975.237  0.96%   126  825s
  6216  3995 246507.894   44  110 245606.547 247975.237  0.96%   126  830s
  6251  4016 246834.021   33  111 245606.547 247975.142  0.96%   126  835s
  6299  4048 247561.101   22  147 245606.547 247973.688  0.96%   125  840s
  6310  4059 246866.230   33  130 245606.547 247973.688  0.96%   126  845s
  6335  4076 247428.017   22  139 245606.547 247965.279  0.96%   126  850s
  6369  4109 245959.378   56  108 245606.547 247965.279  0.96%   126  855s
  6392  4124 246624.801   34  117 245606.547 247965.084  0.96%   126  860s
  6412  4137 247545.342   25  138 245606.547 247961.069  0.96%   126  865s
  6439  4164 246149.911   52  115 245606.547 247961.069  0.96%   126  870s
  6467  4180 247141.133   23  131 245606.547 247959.936  0.96%   126  875s
  6490  4195 247507.651   16  163 245606.547 247949.903  0.95%   127  880s
  6502  4207 246787.521   22  144 245606.547 247949.903  0.95%   127  885s
  6524  4229 246307.881   33  136 245606.547 247949.903  0.95%   127  890s
  6553  4258 245967.864   48  108 245606.547 247949.903  0.95%   128  895s
  6608  4266 247579.362   19  152 245606.547 247949.016  0.95%   127  900s
  6639  4297 246611.855   41  122 245606.547 247949.016  0.95%   128  905s
  6696  4344 247452.039   18  150 245606.547 247946.763  0.95%   128  911s
  6713  4361 246751.924   25  129 245606.547 247946.763  0.95%   128  915s
  6758  4385 247611.936   20  155 245606.547 247945.819  0.95%   128  920s
  6777  4404 246343.943   39  127 245606.547 247945.819  0.95%   128  925s
  6801  4417 247188.813   33  119 245606.547 247944.838  0.95%   129  930s
  6852  4460 247324.950   25  139 245606.547 247943.381  0.95%   128  935s
  6876  4484 245967.822   49  113 245606.547 247943.381  0.95%   128  940s
