Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1200 columns and 800 nonzeros
Model fingerprint: 0xabfd814d
Variable types: 800 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -7.96256e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1200 columns, 0 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)
Found heuristic solution: objective -7.96256e+14

Root relaxation: objective 3.324425e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3410  1780 159367.606   20  124 158835.997 159808.027  0.61%   115  665s
  3466  1815 159244.850   28   93 158835.997 159807.162  0.61%   115  670s
  3513  1839 159257.692   24  118 158835.997 159806.568  0.61%   114  675s
  3552  1857 159422.730   19  123 158835.997 159803.770  0.61%   115  680s
  3589  1884 158985.926   21  122 158835.997 159802.424  0.61%   115  685s
H 3622  1873                    158855.70653 159797.195  0.59%   115  692s
  3654  1894 158913.046   33  103 158855.707 159794.791  0.59%   115  695s
  3722  1923 159350.411   19  120 158855.707 159789.534  0.59%   114  700s
  3771  1941 159196.989   24  114 158855.707 159787.253  0.59%   114  705s
  3818  1964 159461.755   21  123 158855.707 159786.472  0.59%   114  710s
  3856  1986 159033.824   20  145 158855.707 159784.872  0.58%   115  715s
  3918  2009 159193.559   24  121 158855.707 159782.488  0.58%   114  720s
  3979  2037 159558.894   23  119 158855.707 159774.128  0.58%   115  725s
  4033  2075 159048.755   31   87 158855.707 159773.395  0.58%   115  730s
  4074  2100 158897.970   20  132 158855.707 159772.360  0.58%   114  735s
  4104  2109 158890.019   24  121 158855.707 159770.747  0.58%   115  740s
  4162  2132 159028.583   26  125 158855.707 159768.415  0.57%   115  745s
  4204  2155 159141.213   28  103 158855.707 159765.439  0.57%   115  750s
  4272  2191 159407.577   18  120 158855.707 159761.007  0.57%   115  755s
  4318  2214 159323.292   27  109 158855.707 159758.136  0.57%   114  761s
  4363  2242 159547.180   19  126 158855.707 159757.020  0.57%   114  765s
  4412  2261 158966.995   26  117 158855.707 159755.769  0.57%   114  770s
  4462  2288 159089.021   35   82 158855.707 159753.319  0.57%   114  775s
  4524  2320 159552.103   20  132 158855.707 159752.401  0.56%   114  780s
  4551  2331 159382.806   21  126 158855.707 159752.147  0.56%   114  786s
  4590  2347 159332.505   26   95 158855.707 159750.538  0.56%   114  790s
  4622  2361 159210.816   30   85 158855.707 159749.705  0.56%   114  795s
  4683  2397 158870.348   44   76 158855.707 159746.173  0.56%   114  800s
  4751  2426     cutoff   27      158855.707 159741.870  0.56%   113  805s
  4804  2441 159487.846   17  133 158855.707 159739.877  0.56%   113  810s
  4850  2465 159190.922   20  134 158855.707 159737.460  0.56%   113  816s
  4867  2470 159531.598   18  138 158855.707 159737.228  0.55%   113  820s
  4912  2500 159458.420   18  141 158855.707 159735.935  0.55%   113  825s
  4952  2528 158870.979   36   90 158855.707 159733.042  0.55%   113  830s
  5010  2544 159488.419   17  126 158855.707 159729.343  0.55%   113  835s
  5057  2567 159101.029   26  113 158855.707 159726.812  0.55%   113  840s
  5110  2592 159687.844   20  134 158855.707 159723.465  0.55%   113  845s
  5135  2605 159089.265   20  130 158855.707 159723.162  0.55%   113  850s
  5178  2624 158969.771   27  124 158855.707 159722.419  0.55%   113  856s
  5203  2635 159282.475   17  120 158855.707 159721.398  0.54%   113  860s
  5269  2645 158882.118   23  119 158855.707 159717.490  0.54%   113  865s
  5318  2668 159156.305   24  123 158855.707 159707.814  0.54%   113  870s
  5344  2678 158887.662   24  120 158855.707 159706.666  0.54%   113  875s
  5422  2713 159656.398   19  138 158855.707 159705.582  0.53%   113  880s
  5471  2742 159111.034   24  129 158855.707 159702.307  0.53%   113  885s
  5533  2768 158947.829   29   99 158855.707 159698.669  0.53%   112  890s
  5602  2801 159244.212   31   93 158855.707 159695.033  0.53%   112  895s
  5686  2845 159457.445   23  101 158855.707 159686.468  0.52%   112  900s
  5761  2885     cutoff   28      158855.707 159685.642  0.52%   112  905s
  5803  2903 159521.503   19  114 158855.707 159683.864  0.52%   112  910s
  5847  2923 158998.835   21  124 158855.707 159683.366  0.52%   112  915s
  5883  2942 159135.831   20  134 158855.707 159681.743  0.52%   112  920s
  5930  2960 159008.815   26  122 158855.707 159679.391  0.52%   112  925s
  5974  2984 158953.772   32   98 158855.707 159677.902  0.52%   112  930s
  6021  3005 158900.500   34   83 158855.707 159676.025  0.52%   111  935s
  6070  3020 159217.329   23  106 158855.707 159674.140  0.52%   111  940s
  6114  3041 158894.827   25  119 158855.707 159672.801  0.51%   111  945s
  6148  3052 159023.817   28  109 158855.707 159670.817  0.51%   111  950s
  6206  3072 159390.449   17  124 158855.707 159667.761  0.51%   111  955s
  6265  3089 158897.124   32  108 158855.707 159666.689  0.51%   111  960s
  6305  3113 158880.636   27   85 158855.707 159666.235  0.51%   111  965s
  6348  3132 159156.102   24  109 158855.707 159665.541  0.51%   111  970s
  6404  3149     cutoff   25      158855.707 159663.713  0.51%   111  975s
  6442  3167 158915.702   30   93 158855.707 159661.835  0.51%   111  980s
  6500  3191     cutoff   36      158855.707 159659.478  0.51%   111  985s
  6554  3216 158935.048   29  100 158855.707 159656.692  0.50%   111  990s
  6614  3250 159285.576   25  119 158855.707 159655.369  0.50%   111  995s
  6668  3268 158889.888   26  122 158855.707 159651.596  0.50%   111 1000s
  6750  3290 159290.762   24  123 158855.707 159647.370  0.50%   110 1006s
  6790  3308 159352.141   26  100 158855.707 159644.576  0.50%   110 1010s
  6841  3339 159106.173   27  110 158855.707 159643.974  0.50%   110 1015s
  6884  3348     cutoff   26      158855.707 159643.002  0.50%   110 1020s
  6936  3376     cutoff   29      158855.707 159641.120  0.49%   110 1025s
  6986  3399 159564.710   23  125 158855.707 159639.631  0.49%   110 1030s
  7022  3422 158923.341   23  120 158855.707 159638.927  0.49%   110 1035s
  7051  3434 159134.488   25  103 158855.707 159637.332  0.49%   110 1040s
  7102  3464     cutoff   32      158855.707 159635.746  0.49%   111 1045s
  7153  3489 159046.362   23  123 158855.707 159633.907  0.49%   111 1050s
  7209  3508     cutoff   21      158855.707 159632.942  0.49%   111 1055s
  7283  3533 158914.045   38   94 158855.707 159631.397  0.49%   110 1060s
  7341  3561 158902.885   28  108 158855.707 159628.547  0.49%   110 1065s
  7389  3569 159174.269   24  129 158855.707 159628.424  0.49%   110 1070s
  7424  3585 159117.074   26  114 158855.707 159627.434  0.49%   110 1075s
  7469  3606 159052.716   27   85 158855.707 159624.421  0.48%   110 1080s
  7505  3616 159072.131   17  132 158855.707 159624.145  0.48%   110 1085s
  7538  3623 158863.792   28  104 158855.707 159623.579  0.48%   110 1090s
  7591  3650     cutoff   28      158855.707 159622.274  0.48%   110 1095s
  7631  3670 158967.328   29  106 158855.707 159622.030  0.48%   110 1100s
  7667  3680 159321.888   21  114 158855.707 159620.306  0.48%   110 1105s
  7719  3700 158937.344   39   92 158855.707 159619.748  0.48%   110 1110s
  7755  3719 159090.368   24  126 158855.707 159618.471  0.48%   110 1115s
  7793  3734 159370.559   20  119 158855.707 159617.574  0.48%   110 1120s
  7852  3761 159466.640   22  109 158855.707 159613.773  0.48%   110 1125s
  7918  3790 159352.844   19  133 158855.707 159612.862  0.48%   110 1130s
  7957  3806 159210.844   21  124 158855.707 159609.376  0.47%   110 1135s
  7987  3828 158899.174   33   84 158855.707 159607.380  0.47%   110 1140s
  8017  3840 159304.956   22  110 158855.707 159605.922  0.47%   110 1146s
  8059  3873 158905.307   43   95 158855.707 159605.371  0.47%   110 1150s
  8121  3894 159373.962   20  133 158855.707 159603.718  0.47%   110 1155s
  8163  3916 159396.963   21  128 158855.707 159603.240  0.47%   110 1160s
  8212  3933 159126.519   22  122 158855.707 159602.800  0.47%   110 1165s
  8264  3949 159491.478   19  124 158855.707 159602.496  0.47%   110 1170s
  8316  3973 159279.790   25  113 158855.707 159602.203  0.47%   110 1175s
  8370  3995 159209.076   23  133 158855.707 159600.838  0.47%   110 1180s
  8431  4033 159004.355   39   81 158855.707 159599.033  0.47%   110 1185s
  8486  4050 158999.347   30   78 158855.707 159597.410  0.47%   110 1190s
  8520  4070 158888.567   28   93 158855.707 159596.855  0.47%   110 1196s
H 8524  4060                    158857.29555 159596.855  0.47%   110 1197s
  8550  4070 159569.794   17  129 158857.296 159595.238  0.46%   110 1200s
  8613  4110 158926.031   28  108 158857.296 159594.403  0.46%   110 1205s
  8683  4123 159484.912   22  122 158857.296 159592.422  0.46%   109 1210s
  8715  4147 159029.094   25  119 158857.296 159591.503  0.46%   110 1215s
  8768  4165 159326.286   17  144 158857.296 159588.871  0.46%   110 1220s
  8822  4192 158968.111   32   94 158857.296 159588.265  0.46%   110 1225s
  8887  4216     cutoff   31      158857.296 159587.012  0.46%   109 1230s
  8958  4270     cutoff   33      158857.296 159586.459  0.46%   109 1235s
  9015  4287 159360.379   22  111 158857.296 159583.496  0.46%   109 1240s
  9085  4329     cutoff   39      158857.296 159583.142  0.46%   109 1245s
  9142  4353 159058.104   24  122 158857.296 159582.348  0.46%   109 1250s
  9194  4364 159435.006   21  125 158857.296 159581.343  0.46%   109 1255s
  9243  4379 159457.095   21  120 158857.296 159580.143  0.46%   109 1260s
  9289  4402 159456.056   20  133 158857.296 159579.603  0.45%   109 1265s
  9360  4435 159422.851   21  129 158857.296 159579.174  0.45%   109 1270s
  9417  4472 159297.536   20  122 158857.296 159578.506  0.45%   109 1275s
  9468  4505 158977.978   27  102 158857.296 159578.095  0.45%   109 1280s
  9510  4518 158963.396   25  116 158857.296 159577.101  0.45%   109 1285s
  9540  4527 159249.052   20  112 158857.296 159575.264  0.45%   109 1290s
  9590  4554 159184.101   37   86 158857.296 159573.947  0.45%   109 1295s
  9659  4581 159331.773   24  115 158857.296 159573.196  0.45%   108 1300s
  9700  4597 159352.972   19  114 158857.296 159572.688  0.45%   109 1305s
  9749  4628 159055.025   35  101 158857.296 159572.076  0.45%   109 1310s
  9806  4654 159388.451   20  113 158857.296 159570.140  0.45%   109 1315s
  9835  4668 158880.646   23  115 158857.296 159570.061  0.45%   109 1320s
  9866  4676 159413.076   24  116 158857.296 159569.712  0.45%   109 1325s
  9905  4699 158887.897   21  117 158857.296 159568.738  0.45%   109 1330s
  9942  4707 159115.388   25  113 158857.296 159567.343  0.45%   109 1335s
  9997  4733 159204.020   21  118 158857.296 159566.393  0.45%   109 1340s
 10045  4759 159327.267   21  128 158857.296 159565.781  0.45%   109 1345s
 10106  4781 159260.513   25  127 158857.296 159564.566  0.45%   109 1350s
 10162  4807 159507.582   20  123 158857.296 159563.340  0.44%   108 1355s
 10223  4833 159257.893   24  130 158857.296 159563.224  0.44%   108 1360s
 10270  4850 159357.040   27  110 158857.296 159561.137  0.44%   108 1365s
 10326  4873 159363.350   22  119 158857.296 159560.137  0.44%   108 1370s
 10378  4895 158985.410   24  120 158857.296 159558.034  0.44%   108 1375s
 10442  4921     cutoff   34      158857.296 159556.357  0.44%   108 1380s
 10496  4946 159435.708   18  142 158857.296 159555.370  0.44%   108 1385s
 10543  4962 159214.893   29  101 158857.296 159552.980  0.44%   108 1390s
 10604  4999 159341.147   24  128 158857.296 159552.305  0.44%   108 1395s
 10669  5031 158858.059   37   91 158857.296 159551.576  0.44%   108 1400s
 10732  5056 159122.702   26  125 158857.296 159550.513  0.44%   108 1405s
 10786  5076 159347.609   21  119 158857.296 159549.881  0.44%   108 1410s
 10821  5091 159166.072   26  118 158857.296 159547.622  0.43%   108 1415s
 10891  5121 158865.240   28   86 158857.296 159546.688  0.43%   108 1420s
 10963  5145 159197.415   16  126 158857.296 159544.504  0.43%   108 1425s
 11019  5167 159059.497   24  120 158857.296 159543.999  0.43%   108 1430s
 11079  5200 158951.526   43   81 158857.296 159542.646  0.43%   108 1435s
 11142  5232 159183.509   24   97 158857.296 159541.579  0.43%   108 1440s
 11196  5258 158949.147   25  114 158857.296 159541.099  0.43%   108 1445s
 11251  5278     cutoff   28      158857.296 159540.528  0.43%   108 1450s
 11307  5310 158929.417   29   96 158857.296 159538.498  0.43%   108 1455s
 11370  5337     cutoff   26      158857.296 159537.095  0.43%   108 1460s
 11431  5349 158905.349   25  119 158857.296 159535.386  0.43%   108 1465s
 11483  5370 159445.855   22  135 158857.296 159534.202  0.43%   108 1470s
 11552  5405 159195.251   27  104 158857.296 159533.502  0.43%   108 1475s
 11611  5437 159085.139   30  100 158857.296 159533.118  0.43%   108 1480s
 11692  5474 159356.710   18  122 158857.296 159531.345  0.42%   108 1485s
 11749  5501 159260.842   28  114 158857.296 159529.734  0.42%   108 1490s
 11802  5524 158889.989   30  104 158857.296 159529.292  0.42%   108 1495s
 11867  5555     cutoff   38      158857.296 159529.000  0.42%   108 1500s
 11950  5574 159372.395   26  119 158857.296 159528.065  0.42%   108 1505s
 12007  5593 158878.973   27  108 158857.296 159527.798  0.42%   108 1510s
 12076  5622 159119.942   18  137 158857.296 159526.037  0.42%   108 1515s
 12125  5643 159281.148   24  114 158857.296 159525.451  0.42%   108 1520s
 12188  5665 158985.340   21  121 158857.296 159524.646  0.42%   108 1525s
 12249  5690 159231.822   20  122 158857.296 159523.827  0.42%   108 1530s
 12306  5706     cutoff   26      158857.296 159521.852  0.42%   108 1535s
 12368  5729 159395.361   25  117 158857.296 159521.361  0.42%   108 1540s
 12433  5770 158915.539   28   89 158857.296 159520.896  0.42%   108 1545s
 12500  5792 159191.621   16  119 158857.296 159519.947  0.42%   108 1550s
 12563  5823 159103.132   29  108 158857.296 159518.910  0.42%   108 1555s
 12628  5844 159305.556   24  112 158857.296 159517.300  0.42%   108 1560s
 12693  5877 159169.406   24  119 158857.296 159516.212  0.41%   108 1565s
 12749  5895 159341.170   19  131 158857.296 159515.205  0.41%   108 1572s
 12787  5911 159249.852   20  131 158857.296 159514.953  0.41%   108 1575s
 12833  5938 159031.756   31  114 158857.296 159514.785  0.41%   108 1580s
 12906  5979 158873.057   38   89 158857.296 159514.454  0.41%   107 1585s
 12943  5994 158935.812   26  108 158857.296 159514.294  0.41%   108 1590s
 12992  6007 159330.593   25  104 158857.296 159512.942  0.41%   108 1595s
 13051  6042 158877.628   30  114 158857.296 159512.516  0.41%   108 1600s
 13117  6066     cutoff   27      158857.296 159511.096  0.41%   108 1605s
 13178  6099 158948.500   28  111 158857.296 159510.686  0.41%   108 1610s
 13239  6110 159178.876   19  125 158857.296 159510.022  0.41%   108 1615s
 13301  6137 159337.934   21  122 158857.296 159509.182  0.41%   108 1620s
 13366  6158 159165.216   20  109 158857.296 159507.681  0.41%   108 1625s
 13426  6184 159027.302   32  110 158857.296 159507.072  0.41%   108 1630s
 13501  6207 159285.707   22  107 158857.296 159505.961  0.41%   108 1635s
 13584  6237 158867.309   43   75 158857.296 159505.794  0.41%   107 1640s
 13681  6260 159318.999   22  149 158857.296 159504.621  0.41%   107 1645s
 13731  6284 158914.753   36  104 158857.296 159504.192  0.41%   107 1650s
 13801  6312 159008.071   23  116 158857.296 159503.593  0.41%   107 1655s
 13871  6350 158883.019   33  100 158857.296 159502.809  0.41%   107 1660s
 13932  6365 159403.248   23  110 158857.296 159501.104  0.41%   107 1665s
 13993  6388 159326.099   22  111 158857.296 159500.246  0.40%   107 1670s
 14068  6419 159228.851   24  111 158857.296 159498.189  0.40%   107 1677s
 14118  6443 158922.710   29  119 158857.296 159498.059  0.40%   107 1680s
 14162  6456 158973.498   26  123 158857.296 159497.229  0.40%   107 1685s
 14218  6479 159128.264   21  107 158857.296 159497.073  0.40%   107 1690s
 14269  6494     cutoff   25      158857.296 159496.285  0.40%   107 1695s
 14327  6513 159211.052   24  109 158857.296 159494.524  0.40%   107 1700s
 14392  6534 158966.601   27  106 158857.296 159493.224  0.40%   107 1705s
 14438  6552 159151.669   26  124 158857.296 159492.179  0.40%   107 1710s
 14495  6574 158976.592   25  104 158857.296 159491.252  0.40%   107 1715s
 14541  6586 159160.430   27  115 158857.296 159489.995  0.40%   107 1720s
 14582  6602 159084.275   26   94 158857.296 159489.582  0.40%   107 1736s
 14620  6621     cutoff   24      158857.296 159489.459  0.40%   107 1740s
 14690  6649 159101.315   27  120 158857.296 159488.674  0.40%   107 1745s
 14757  6670     cutoff   31      158857.296 159487.612  0.40%   107 1750s
 14824  6708 158905.540   33   99 158857.296 159487.184  0.40%   107 1755s
 14885  6715     cutoff   24      158857.296 159486.464  0.40%   107 1760s
