    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 11136  7667 223964.776   53  124 223364.292 225363.652  0.90%   102  790s
 11220  7732 224320.539   47  127 223364.292 225361.404  0.89%   103  795s
 11348  7815 225235.715   30  157 223364.292 225358.601  0.89%   103  800s
H11365  7729                    223431.21314 225358.601  0.86%   103  809s
 11380  7746 223747.105   62  108 223431.213 225358.601  0.86%   103  810s
 11476  7810 225154.587   29  156 223431.213 225357.549  0.86%   103  815s
 11569  7885 223916.198   64  105 223431.213 225357.509  0.86%   103  820s
 11671  7963 223863.768   65   82 223431.213 225355.442  0.86%   103  825s
 11777  8054 223603.047   66  117 223431.213 225354.422  0.86%   103  830s
 11857  8106 223641.673   66  121 223431.213 225352.910  0.86%   103  835s
 11970  8182 225136.603   30  166 223431.213 225348.373  0.86%   103  840s
 12065  8257 224096.642   44  138 223431.213 225348.087  0.86%   103  845s
 12149  8309 225086.259   31  156 223431.213 225347.139  0.86%   103  850s
 12272  8415 223777.521   56  116 223431.213 225346.010  0.86%   103  855s
 12365  8477 223484.801   61  116 223431.213 225345.345  0.86%   103  860s
 12455  8526 223461.825   53  125 223431.213 225343.951  0.86%   103  865s
 12559  8597 224241.888   48  140 223431.213 225340.198  0.85%   103  870s
 12658  8670 225012.294   32  156 223431.213 225338.556  0.85%   103  875s
 12731  8730 224574.256   41  141 223431.213 225337.957  0.85%   103  880s
 12816  8793 224039.153   52  105 223431.213 225336.969  0.85%   103  885s
 12914  8865 224003.978   55  122 223431.213 225336.582  0.85%   103  890s
 13002  8935 224196.960   47  115 223431.213 225334.854  0.85%   103  895s
 13074  8989 225259.460   31  158 223431.213 225333.833  0.85%   103  900s
 13183  9078 223437.396   65   73 223431.213 225333.572  0.85%   103  905s
 13274  9148 224248.017   40  123 223431.213 225332.892  0.85%   104  910s
 13371  9213 223653.540   66  119 223431.213 225331.806  0.85%   104  915s
 13479  9264 225119.481   32  155 223431.213 225329.903  0.85%   104  920s
 13562  9320 224323.787   38  126 223431.213 225329.097  0.85%   104  925s
 13675  9416 224566.134   42  142 223431.213 225328.951  0.85%   104  930s
 13750  9471 224857.520   37  142 223431.213 225327.968  0.85%   104  935s
 13836  9536 224803.322   37  146 223431.213 225327.067  0.85%   104  940s
 13933  9610 224566.306   43  141 223431.213 225326.942  0.85%   104  945s
 14004  9663 224970.777   37  144 223431.213 225326.145  0.85%   104  950s
 14106  9749 224526.071   49  116 223431.213 225324.445  0.85%   104  955s
 14207  9831 223802.760   60  112 223431.213 225323.872  0.85%   104  960s
 14305  9896 225130.142   35  141 223431.213 225320.588  0.85%   104  965s
 14309  9900 225016.600   39  138 223431.213 225320.588  0.85%   104  998s
 14310  9901 225002.353   40  137 223431.213 225320.588  0.85%   104 1000s
 14398  9964 224855.703   36  147 223431.213 225318.245  0.84%   104 1005s
 14487 10045 223635.590   51  110 223431.213 225318.245  0.84%   104 1010s
 14598 10104     cutoff   66      223431.213 225316.389  0.84%   104 1015s
 14682 10174 223809.696   62  109 223431.213 225315.111  0.84%   104 1020s
 14771 10245 223796.200   58  113 223431.213 225313.901  0.84%   104 1025s
 14869 10295 225091.702   33  150 223431.213 225312.349  0.84%   104 1030s
 14958 10367 224859.223   36  139 223431.213 225310.828  0.84%   104 1035s
 15039 10428 225228.227   30  171 223431.213 225310.098  0.84%   104 1040s
 15115 10486 225092.958   33  164 223431.213 225309.539  0.84%   104 1045s
 15226 10573 225110.250   32  154 223431.213 225308.759  0.84%   104 1050s
H15283 10526                    223462.54005 225308.400  0.83%   104 1059s
 15294 10539 224217.492   55  128 223462.540 225308.400  0.83%   104 1060s
 15403 10620 225157.022   33  160 223462.540 225306.833  0.83%   104 1065s
 15477 10686 223664.791   69  108 223462.540 225306.600  0.83%   104 1070s
 15588 10746 224911.210   38  152 223462.540 225305.613  0.82%   104 1075s
 15699 10843 223938.622   60  113 223462.540 225305.381  0.82%   104 1080s
 15805 10917 225169.192   33  151 223462.540 225303.347  0.82%   104 1085s
 15884 10972 225024.080   38  150 223462.540 225302.240  0.82%   104 1090s
 15968 11036 225088.118   31  162 223462.540 225301.994  0.82%   104 1095s
 16055 11103 224492.655   47  133 223462.540 225301.415  0.82%   104 1100s
 16141 11170 224388.340   46  122 223462.540 225299.721  0.82%   104 1105s
 16257 11262 223906.006   49  116 223462.540 225299.206  0.82%   104 1110s
 16345 11324 224017.584   52   97 223462.540 225298.634  0.82%   104 1115s
 16453 11394 224968.708   32  141 223462.540 225297.849  0.82%   104 1120s
 16546 11476 224324.654   55  130 223462.540 225297.022  0.82%   104 1125s
 16644 11530 224342.980   53  127 223462.540 225295.426  0.82%   104 1130s
 16752 11619 223939.631   56  122 223462.540 225294.670  0.82%   104 1135s
 16852 11675 224903.156   33  154 223462.540 225294.195  0.82%   104 1140s
 16931 11734 223955.608   59  129 223462.540 225293.821  0.82%   104 1145s
 17019 11796 223834.220   61  123 223462.540 225292.616  0.82%   104 1150s
 17116 11864 225100.823   36  153 223462.540 225291.311  0.82%   104 1155s
 17229 11953 224511.484   47  152 223462.540 225291.139  0.82%   104 1160s
 17308 12014 224466.679   43  116 223462.540 225289.262  0.82%   104 1165s
 17413 12095 224960.388   38  154 223462.540 225288.393  0.82%   104 1170s
 17503 12158 225019.479   31  154 223462.540 225287.384  0.82%   104 1175s
 17581 12218 224973.083   36  143 223462.540 225285.829  0.82%   104 1180s
 17712 12299 225164.545   33  159 223462.540 225283.332  0.81%   104 1185s
 17790 12357 224149.154   49  131 223462.540 225283.215  0.81%   104 1190s
 17877 12420 223471.440   55  109 223462.540 225281.445  0.81%   104 1195s
 17972 12487 224677.628   36  139 223462.540 225280.243  0.81%   104 1200s
 18050 12545 224967.105   35  149 223462.540 225279.410  0.81%   104 1205s
 18167 12635 224884.281   37  135 223462.540 225278.884  0.81%   104 1210s
 18263 12714 224026.341   54  107 223462.540 225278.458  0.81%   104 1215s
 18348 12782 223535.905   63  112 223462.540 225277.599  0.81%   104 1220s
 18438 12832 225136.866   32  157 223462.540 225277.251  0.81%   104 1225s
 18541 12907 223626.222   57  111 223462.540 225276.406  0.81%   104 1230s
 18637 12981 223955.588   50  109 223462.540 225275.766  0.81%   104 1235s
 18745 13053 224175.964   50  123 223462.540 225274.763  0.81%   104 1240s
 18833 13123 223719.489   60  103 223462.540 225274.744  0.81%   104 1245s
 18924 13188 224847.039   35  150 223462.540 225273.218  0.81%   104 1250s
 18996 13244 224957.065   39  146 223462.540 225273.031  0.81%   104 1255s
 19075 13316 224360.732   48  128 223462.540 225272.957  0.81%   104 1260s
 19192 13403 224077.318   51  102 223462.540 225272.561  0.81%   104 1265s
 19287 13470 225061.630   33  158 223462.540 225272.241  0.81%   104 1270s
 19376 13542 223650.025   57  121 223462.540 225271.574  0.81%   104 1275s
 19468 13597 225063.561   36  150 223462.540 225270.790  0.81%   104 1280s
 19556 13659 225089.661   32  140 223462.540 225270.304  0.81%   104 1285s
 19679 13738 223543.811   63  115 223462.540 225268.125  0.81%   104 1290s
 19770 13811 223844.276   48  121 223462.540 225267.446  0.81%   104 1295s
 19841 13858 224352.805   49  131 223462.540 225266.311  0.81%   104 1300s
 19929 13938 223695.704   67   90 223462.540 225266.260  0.81%   104 1305s
 20011 13998 223863.002   65  117 223462.540 225265.690  0.81%   104 1310s
 20073 14034 224535.750   45  138 223462.540 225265.488  0.81%   104 1315s
 20197 14134 223999.562   53  133 223462.540 225265.141  0.81%   104 1320s
 20288 14194 225104.621   38  157 223462.540 225263.678  0.81%   104 1325s
 20364 14260 223543.756   48  112 223462.540 225262.390  0.81%   104 1330s
 20481 14333 224471.527   44  136 223462.540 225261.560  0.81%   104 1335s
