    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1662   887 247764.488   54  101 240492.417 250942.144  4.35%   107  435s
  1692   907 246624.731   69   86 240492.417 250942.144  4.35%   107  440s
  1732   934 245203.679   89   56 240492.417 250942.144  4.35%   107  445s
  1759   952 242535.503  103   48 240492.417 250942.144  4.35%   107  450s
  1800   979 241026.765  123   25 240492.417 250942.144  4.35%   106  455s
  1831   981 250316.886   21  166 240492.417 250910.672  4.33%   105  464s
  1832   982 249861.483   22  160 240492.417 250910.672  4.33%   106  467s
  1835   984 250053.160   23  156 240492.417 250910.672  4.33%   106  470s
  1839   986 250227.560   25  160 240492.417 250910.672  4.33%   107  475s
  1844   990 249944.817   28  158 240492.417 250910.672  4.33%   107  480s
  1850   994 249645.869   31  154 240492.417 250910.672  4.33%   108  485s
  1861  1001 249251.844   36  142 240492.417 250910.672  4.33%   109  490s
  1871  1008 249082.767   41  139 240492.417 250910.672  4.33%   109  495s
  1881  1014 248837.243   46  134 240492.417 250910.672  4.33%   110  500s
  1894  1023 248321.807   53  128 240492.417 250910.672  4.33%   111  505s
  1912  1035 247245.371   62  105 240492.417 250910.672  4.33%   112  510s
  1937  1052 246138.178   74   85 240492.417 250910.672  4.33%   112  516s
  1963  1069 245506.931   87   72 240492.417 250910.672  4.33%   112  520s
  2000  1100 242725.664  106   60 240492.417 250910.672  4.33%   112  525s
  2031  1131 241455.838  121   38 240492.417 250910.672  4.33%   111  530s
  2076  1149 250381.193   22  166 240492.417 250910.470  4.33%   110  542s
  2078  1151 250317.444   23  158 240492.417 250910.470  4.33%   111  545s
  2086  1159 249843.310   27  153 240492.417 250910.470  4.33%   112  550s
  2094  1167 249553.259   31  147 240492.417 250910.470  4.33%   112  555s
  2107  1180 249054.727   38  145 240492.417 250910.470  4.33%   113  560s
  2120  1193 248592.891   44  129 240492.417 250910.470  4.33%   114  565s
  2133  1206 248245.124   51  126 240492.417 250910.470  4.33%   114  570s
  2146  1219 247720.059   57  111 240492.417 250910.470  4.33%   115  575s
  2172  1245 246330.217   70   85 240492.417 250910.470  4.33%   115  580s
  2196  1269 245058.598   82   70 240492.417 250910.470  4.33%   115  585s
  2222  1295 243874.485   95   64 240492.417 250910.470  4.33%   115  590s
  2250  1323 242481.710  109   44 240492.417 250910.470  4.33%   115  595s
  2302  1375 240967.182  135   17 240492.417 250910.470  4.33%   114  603s
  2323  1384 250310.244   22  158 240492.417 250892.490  4.32%   114  613s
  2324  1385 249845.404   23  157 240492.417 250892.490  4.32%   114  616s
  2328  1389 249830.420   25  151 240492.417 250892.490  4.32%   115  620s
  2334  1395 250166.108   28  157 240492.417 250892.490  4.32%   115  625s
  2339  1400 249773.295   30  147 240492.417 250892.490  4.32%   116  630s
  2346  1407 249502.137   34  147 240492.417 250892.490  4.32%   116  636s
  2353  1414 248747.418   37  142 240492.417 250892.490  4.32%   117  640s
  2354  1415 249190.845   38  143 240492.417 250892.490  4.32%   117  647s
  2362  1423 248979.311   42  138 240492.417 250892.490  4.32%   117  650s
  2375  1436 248134.750   48  119 240492.417 250892.490  4.32%   117  655s
  2381  1442 247953.537   51  121 240492.417 250892.490  4.32%   118  660s
  2397  1458 247306.617   59  109 240492.417 250892.490  4.32%   118  665s
  2411  1472 246918.866   66   93 240492.417 250892.490  4.32%   118  670s
  2430  1491 246276.208   76   89 240492.417 250892.490  4.32%   118  675s
  2442  1503 245804.144   82   79 240492.417 250892.490  4.32%   118  680s
H 2458  1378                    241199.60711 250892.490  4.02%   118  684s
  2461  1383 245109.430   91   63 241199.607 250892.490  4.02%   118  685s
  2483  1405 243478.273  102   54 241199.607 250892.490  4.02%   118  690s
  2484  1406 243879.614  103   54 241199.607 250892.490  4.02%   118  699s
  2491  1413 243657.270  106   52 241199.607 250892.490  4.02%   118  700s
  2509  1431 243317.923  115   42 241199.607 250892.490  4.02%   118  705s
  2510  1432 243298.969  116   44 241199.607 250892.490  4.02%   118  711s
  2536  1439 241243.308  121   43 241199.607 250892.490  4.02%   117  718s
  2541  1438 250283.475   23  164 241199.607 250892.327  4.02%   118  728s
  2542  1439 249730.759   24  164 241199.607 250892.327  4.02%   118  730s
