    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  5018  3211 249758.112   25  158 244524.444 250643.052  2.50%   139 1752s
  5021  3214 249246.318   28  151 244524.444 250643.052  2.50%   139 1755s
  5029  3222 248247.984   36  140 244524.444 250643.052  2.50%   139 1760s
  5041  3234 246797.722   48  130 244524.444 250643.052  2.50%   139 1765s
  5050  3243 246184.305   57  127 244524.444 250643.052  2.50%   139 1770s
  5064  3249 249728.519   25  152 244524.444 250639.056  2.50%   139 1779s
  5065  3250 249288.151   26  150 244524.444 250639.056  2.50%   140 1781s
  5073  3258 248573.052   34  143 244524.444 250639.056  2.50%   140 1802s
  5077  3262 247933.228   38  134 244524.444 250639.056  2.50%   140 1805s
  5095  3280 246570.767   56  126 244524.444 250639.056  2.50%   140 1810s
  5115  3300 245138.211   76  105 244524.444 250639.056  2.50%   140 1815s
  5137  3302 250195.798   28  148 244524.444 250638.573  2.50%   140 1821s
  5143  3308 249474.965   33  142 244524.444 250638.573  2.50%   140 1825s
  5156  3321 248765.570   39  130 244524.444 250638.573  2.50%   140 1830s
