    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  6633  2223 222511.741   31   91 222457.215 223095.091  0.29%   139  540s
  6653  2225 222685.793   31   89 222457.215 223093.812  0.29%   139  545s
  6734  2237 222672.873   24  103 222457.215 223090.567  0.28%   139  550s
  6809  2252 222754.009   28   88 222457.215 223088.876  0.28%   139  555s
  6887  2278 222559.917   29   86 222457.215 223087.995  0.28%   139  560s
  6959  2294 222497.815   26   89 222457.215 223086.465  0.28%   139  565s
  7038  2304 222744.972   25   90 222457.215 223082.670  0.28%   139  570s
  7115  2313     cutoff   39      222457.215 223080.495  0.28%   139  575s
  7161  2325 222736.262   31   87 222457.215 223080.347  0.28%   139  580s
  7229  2339 222904.116   28   90 222457.215 223076.187  0.28%   139  585s
  7315  2368 222828.058   26   96 222457.215 223073.855  0.28%   139  590s
  7404  2405 222608.155   31   82 222457.215 223069.360  0.28%   139  595s
  7501  2428 222518.033   32   75 222457.215 223067.960  0.27%   139  600s
  7585  2450 222604.993   32   82 222457.215 223065.879  0.27%   139  605s
  7639  2464 222564.128   29   88 222457.215 223064.196  0.27%   139  610s
  7688  2473 222517.703   33   80 222457.215 223063.105  0.27%   139  615s
  7757  2496 222469.536   33   90 222457.215 223062.339  0.27%   139  620s
  7851  2512 222773.425   31   98 222457.215 223060.425  0.27%   139  625s
  7942  2533 222651.131   32   93 222457.215 223059.338  0.27%   139  630s
  8026  2562     cutoff   31      222457.215 223057.059  0.27%   139  635s
  8054  2572 222596.702   27   89 222457.215 223055.536  0.27%   139  641s
  8136  2599 222709.822   25   96 222457.215 223053.378  0.27%   139  645s
  8214  2622 222486.759   32   94 222457.215 223051.441  0.27%   139  650s
  8306  2631     cutoff   31      222457.215 223046.835  0.27%   139  655s
  8393  2655 222470.629   29   93 222457.215 223043.861  0.26%   139  660s
  8486  2682 222520.464   31   95 222457.215 223037.969  0.26%   139  665s
  8528  2690 222889.472   28   91 222457.215 223036.392  0.26%   139  670s
  8558  2696 222732.394   26  102 222457.215 223032.672  0.26%   139  675s
  8639  2712 222599.627   27   90 222457.215 223028.659  0.26%   139  680s
  8742  2741 222517.679   31   79 222457.215 223026.623  0.26%   138  685s
  8852  2763 222662.926   31   93 222457.215 223024.971  0.26%   138  690s
  8941  2787 222467.482   30   91 222457.215 223024.341  0.25%   138  695s
  8997  2799 222962.142   25   94 222457.215 223023.314  0.25%   138  701s
  9063  2813 222580.603   30  103 222457.215 223018.836  0.25%   138  705s
  9141  2823 222703.993   24   92 222457.215 223016.851  0.25%   138  710s
  9224  2850 222781.245   27   88 222457.215 223016.236  0.25%   138  715s
  9316  2869 222692.319   31   87 222457.215 223013.698  0.25%   138  720s
  9397  2891 222470.490   32   86 222457.215 223010.904  0.25%   138  725s
  9464  2906 222671.475   36   84 222457.215 223009.598  0.25%   138  730s
  9513  2923 222791.439   27   94 222457.215 223009.442  0.25%   138  735s
  9603  2945 222793.843   30   99 222457.215 223006.849  0.25%   138  740s
  9693  2976 222642.703   29   94 222457.215 223005.617  0.25%   138  745s
  9775  3000 222805.011   28   90 222457.215 223003.965  0.25%   138  750s
  9846  3011 222504.871   30   92 222457.215 223003.436  0.25%   138  756s
  9877  3013 222575.097   28   85 222457.215 223001.518  0.24%   138  760s
  9976  3036 222749.195   30   89 222457.215 222998.942  0.24%   138  765s
 10062  3051 222473.521   31   94 222457.215 222997.781  0.24%   138  770s
 10142  3061 222545.684   29   92 222457.215 222996.799  0.24%   138  775s
 10220  3074 222551.324   26   93 222457.215 222994.643  0.24%   138  780s
 10317  3100 222586.388   34   90 222457.215 222993.435  0.24%   138  785s
 10426  3111 222633.743   28   88 222457.215 222990.993  0.24%   138  790s
 10524  3133 222462.461   33   83 222457.215 222989.056  0.24%   138  795s
 10617  3150 222497.859   39   72 222457.215 222986.146  0.24%   138  800s
 10708  3161 222647.149   30   84 222457.215 222983.699  0.24%   138  805s
 10803  3173 222741.611   29   86 222457.215 222982.760  0.24%   138  810s
 10894  3193     cutoff   29      222457.215 222979.021  0.23%   137  815s
 10983  3211 222866.295   27   98 222457.215 222976.110  0.23%   137  820s
 11063  3220 222920.639   24  100 222457.215 222974.692  0.23%   137  825s
 11158  3236 222895.141   24  101 222457.215 222972.191  0.23%   137  830s
 11245  3267 222521.243   42   71 222457.215 222970.427  0.23%   137  835s
 11339  3283 222576.326   32   93 222457.215 222969.435  0.23%   137  840s
 11418  3290 222660.469   31   91 222457.215 222966.193  0.23%   137  847s
 11456  3305 222601.968   27   97 222457.215 222965.544  0.23%   137  850s
 11560  3333     cutoff   33      222457.215 222964.716  0.23%   137  855s
 11649  3349 222829.115   26  100 222457.215 222961.710  0.23%   137  860s
 11750  3360 222722.943   31   82 222457.215 222960.729  0.23%   137  865s
 11859  3398 222673.566   24   96 222457.215 222959.352  0.23%   137  870s
 11952  3413 222693.151   24   97 222457.215 222957.920  0.23%   137  875s
 12047  3418 222557.842   27  100 222457.215 222954.861  0.22%   137  880s
 12144  3421 222539.777   24  102 222457.215 222952.327  0.22%   137  885s
 12232  3443 222470.468   27   90 222457.215 222950.443  0.22%   137  890s
 12333  3460 222461.615   31   98 222457.215 222949.826  0.22%   137  895s
 12435  3479 222534.953   25  104 222457.215 222947.055  0.22%   136  900s
 12498  3504 222476.140   35   79 222457.215 222945.741  0.22%   136  905s
 12611  3524 222801.489   27   89 222457.215 222942.343  0.22%   136  910s
 12715  3548 222500.041   33   84 222457.215 222941.582  0.22%   136  915s
 12804  3563 222482.479   30  100 222457.215 222939.667  0.22%   136  920s
 12886  3566 222520.001   24   92 222457.215 222937.040  0.22%   136  925s
 13004  3574     cutoff   33      222457.215 222936.246  0.22%   136  930s
