Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0x2f4a87f5
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-05, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.294161e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2283  1167 246497.336   31  133 245371.994 248186.322  1.15%   149  825s
  2307  1174 247609.189   19  161 245371.994 248179.565  1.14%   150  833s
  2313  1180 247041.893   24  143 245371.994 248179.565  1.14%   150  835s
  2323  1190 246801.287   26  132 245371.994 248179.565  1.14%   150  840s
  2339  1206 245793.796   37   97 245371.994 248179.565  1.14%   150  845s
  2356  1215 247887.485   15  163 245371.994 248173.233  1.14%   150  851s
  2367  1226 246796.380   26  129 245371.994 248173.233  1.14%   150  856s
  2379  1238 245700.096   38  116 245371.994 248173.233  1.14%   150  860s
  2391  1242 247398.024   18  146 245371.994 248162.951  1.14%   150  865s
H 2393  1206                    245424.47155 248162.951  1.12%   150  867s
  2405  1220 245858.772   32  116 245424.472 248162.951  1.12%   150  870s
  2422  1224 247855.366   17  150 245424.472 248162.677  1.12%   150  880s
  2436  1238 246377.651   31  119 245424.472 248162.677  1.12%   150  885s
  2447  1249 245733.916   42   96 245424.472 248162.677  1.12%   150  890s
  2448  1249 245528.623   43   93 245424.472 248162.677  1.12%   150  895s
  2457  1250 247953.835   17  157 245424.472 248134.891  1.10%   150  902s
  2460  1253 247545.695   19  146 245424.472 248134.891  1.10%   150  905s
