    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 29283 10409 181609.024   36  109 181431.334 181903.222  0.26%  77.8 1020s
 29464 10447     cutoff   44      181431.334 181901.728  0.26%  77.7 1025s
 29655 10489 181432.559   49   87 181431.334 181901.099  0.26%  77.7 1030s
 29817 10528 181500.810   41   98 181431.334 181900.371  0.26%  77.6 1035s
 30003 10577 181533.066   46  101 181431.334 181899.342  0.26%  77.6 1040s
 30168 10611 181607.005   48  100 181431.334 181898.507  0.26%  77.6 1045s
 30358 10666 181485.843   41  114 181431.334 181897.684  0.26%  77.5 1050s
 30543 10703     cutoff   39      181431.334 181896.963  0.26%  77.4 1055s
 30733 10771 181528.633   43   99 181431.334 181896.066  0.26%  77.4 1060s
 30907 10809 181567.670   40  113 181431.334 181895.121  0.26%  77.3 1065s
 31101 10831     cutoff   45      181431.334 181893.710  0.25%  77.3 1070s
 31291 10887 181825.455   38  117 181431.334 181892.593  0.25%  77.3 1075s
 31470 10927 181681.780   35  118 181431.334 181891.777  0.25%  77.2 1080s
 31646 10962 181812.136   39  106 181431.334 181890.565  0.25%  77.2 1085s
 31824 10999 181658.115   42  104 181431.334 181889.680  0.25%  77.2 1090s
 31985 11031 181766.355   36  123 181431.334 181888.866  0.25%  77.2 1095s
 32166 11076     cutoff   40      181431.334 181887.763  0.25%  77.2 1100s
 32342 11118 181678.972   40  112 181431.334 181886.702  0.25%  77.1 1105s
 32516 11162 181457.402   42  101 181431.334 181886.138  0.25%  77.1 1110s
 32696 11190 181473.187   45  107 181431.334 181885.621  0.25%  77.1 1115s
 32896 11232 181729.243   41  111 181431.334 181884.552  0.25%  77.1 1120s
 33077 11265 181549.415   44   93 181431.334 181883.621  0.25%  77.0 1125s
 33265 11307 181480.509   44  106 181431.334 181882.438  0.25%  77.0 1130s
 33443 11353 181476.981   41  100 181431.334 181881.670  0.25%  77.0 1135s
 33620 11386 181656.810   46  105 181431.334 181880.454  0.25%  77.0 1140s
 33807 11405 181548.184   44  105 181431.334 181879.623  0.25%  76.9 1145s
 33982 11439     cutoff   41      181431.334 181878.997  0.25%  76.9 1150s
 34171 11476 181564.466   41  104 181431.334 181878.548  0.25%  76.9 1155s
 34372 11515 181550.756   40  112 181431.334 181877.583  0.25%  76.9 1160s
 34517 11541 181800.998   37  114 181431.334 181876.657  0.25%  76.9 1165s
 34710 11572 181499.547   38  110 181431.334 181875.960  0.25%  76.9 1170s
 34865 11609 181751.448   35  118 181431.334 181875.175  0.24%  76.9 1175s
 35033 11635     cutoff   44      181431.334 181874.699  0.24%  76.9 1180s
 35183 11669 181626.470   41  115 181431.334 181873.522  0.24%  76.9 1185s
 35192 11670 181735.834   35  134 181431.334 181873.518  0.24%  76.9 1206s
 35243 11685 181446.822   45  106 181431.334 181873.283  0.24%  76.9 1210s
 35400 11713     cutoff   39      181431.334 181872.205  0.24%  76.9 1215s
 35596 11745 181609.594   44  106 181431.334 181870.851  0.24%  76.9 1220s
 35780 11764 181460.271   44   98 181431.334 181869.634  0.24%  76.8 1225s
 35966 11788 181482.002   42  100 181431.334 181868.910  0.24%  76.8 1230s
 36153 11811 181625.237   39  115 181431.334 181868.251  0.24%  76.8 1235s
 36297 11847 181527.343   44  102 181431.334 181867.429  0.24%  76.8 1240s
 36469 11882 181580.367   38  110 181431.334 181866.529  0.24%  76.8 1245s
 36646 11922 181624.303   42  107 181431.334 181865.569  0.24%  76.8 1250s
 36817 11950 181738.584   37  120 181431.334 181864.913  0.24%  76.8 1255s
 36988 11971 181672.194   37  124 181431.334 181863.651  0.24%  76.8 1260s
 37160 11997     cutoff   50      181431.334 181862.037  0.24%  76.8 1265s
 37349 12025 181604.023   38  118 181431.334 181860.787  0.24%  76.8 1270s
 37525 12062     cutoff   41      181431.334 181859.743  0.24%  76.8 1275s
 37708 12087 181640.605   38  116 181431.334 181858.321  0.24%  76.7 1280s
 37829 12099 181535.702   42  109 181431.334 181857.701  0.24%  76.7 1285s
 37973 12129 181620.684   40  104 181431.334 181856.782  0.23%  76.7 1290s
 38153 12158 181434.521   35  125 181431.334 181855.748  0.23%  76.7 1295s
 38342 12189 181451.122   40  103 181431.334 181855.246  0.23%  76.7 1300s
 38521 12232 181609.736   42  106 181431.334 181854.546  0.23%  76.6 1305s
 38699 12257 181505.017   45   85 181431.334 181853.606  0.23%  76.6 1310s
 38877 12288 181734.980   41  108 181431.334 181852.828  0.23%  76.6 1315s
 39020 12313 181490.717   38  119 181431.334 181852.149  0.23%  76.6 1320s
 39204 12332 181810.792   43  109 181431.334 181850.982  0.23%  76.6 1325s
 39376 12359 181798.509   39  108 181431.334 181849.812  0.23%  76.6 1330s
 39568 12405 181513.351   39  117 181431.334 181848.791  0.23%  76.5 1335s
 39748 12439 181446.613   38  121 181431.334 181848.145  0.23%  76.5 1340s
 39922 12477 181586.332   40  105 181431.334 181847.475  0.23%  76.5 1345s
 40089 12519 181682.317   42  103 181431.334 181846.378  0.23%  76.5 1350s
 40256 12547 181826.614   37  114 181431.334 181845.244  0.23%  76.5 1355s
 40441 12579     cutoff   41      181431.334 181844.164  0.23%  76.4 1360s
 40621 12609 181534.458   43   96 181431.334 181843.713  0.23%  76.4 1365s
 40788 12619 181518.001   46   98 181431.334 181843.045  0.23%  76.5 1370s
 40955 12641     cutoff   44      181431.334 181842.064  0.23%  76.5 1375s
 41151 12664 181731.436   40  120 181431.334 181840.991  0.23%  76.4 1380s
 41336 12704 181562.135   37  110 181431.334 181840.210  0.23%  76.4 1385s
