    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3528  2569 222690.840   60   60 220452.219 226225.645  2.62%   117  535s
  3620  2650 225464.803   31  113 220452.219 226160.898  2.59%   116  540s
  3647  2677 222125.096   58   71 220452.219 226160.898  2.59%   116  545s
  3685  2705 223490.802   48   84 220452.219 226157.933  2.59%   117  550s
  3724  2736 225726.059   33  104 220452.219 226155.620  2.59%   116  555s
  3739  2751 223554.432   48   74 220452.219 226155.620  2.59%   117  561s
  3775  2777 225873.374   29  103 220452.219 226154.711  2.59%   117  565s
  3807  2809 223375.947   43   70 220452.219 226154.711  2.59%   117  570s
  3871  2856 225697.610   29  101 220452.219 226151.642  2.59%   117  575s
  3899  2884 222660.756   57   75 220452.219 226151.642  2.59%   117  580s
  3940  2907 224730.000   32   87 220452.219 226139.675  2.58%   117  585s
  3999  2945 225669.014   30  104 220452.219 226136.870  2.58%   116  590s
  4001  2947 225507.705   32  102 220452.219 226136.870  2.58%   116  596s
  4028  2974 222199.282   59   70 220452.219 226136.870  2.58%   116  600s
  4063  3001 224737.688   39   98 220452.219 226119.302  2.57%   116  605s
  4092  3030 222121.848   68   80 220452.219 226119.302  2.57%   116  610s
  4136  3036 225889.473   29  111 220452.219 226118.750  2.57%   116  615s
  4163  3063 222906.614   56   81 220452.219 226118.750  2.57%   116  620s
  4202  3092 225082.773   34  103 220452.219 226115.777  2.57%   116  625s
  4230  3120 222243.636   62   83 220452.219 226115.777  2.57%   117  630s
  4258  3140 225284.568   30  103 220452.219 226115.217  2.57%   117  635s
  4284  3166 224119.386   41   84 220452.219 226115.217  2.57%   118  640s
  4329  3211 222580.959   63   63 220452.219 226115.217  2.57%   118  645s
  4335  3217 222380.582   63   61 220452.219 226115.217  2.57%   118  650s
H 4425  2479                    221663.55564 226115.217  2.01%   117  659s
  4430  2486 225009.807   33  102 221663.556 226085.646  1.99%   117  660s
  4471  2519 225115.758   30   96 221663.556 226054.994  1.98%   117  665s
  4516  2550 225306.656   29  102 221663.556 226054.697  1.98%   117  670s
  4549  2583 222412.893   62   73 221663.556 226054.697  1.98%   117  675s
  4583  2605 223560.516   42   88 221663.556 226052.370  1.98%   117  680s
  4612  2624 225044.933   35   99 221663.556 226052.358  1.98%   117  685s
  4634  2646 223783.245   46   84 221663.556 226052.358  1.98%   118  690s
  4690  2691 225454.064   31  104 221663.556 226049.116  1.98%   118  695s
  4702  2703 224983.047   34   95 221663.556 226049.116  1.98%   118  700s
H 4706  2537                    221900.17647 226049.116  1.87%   118  710s
  4742  2575 222750.845   47   63 221900.176 226049.116  1.87%   119  715s
  4779  2592 225245.745   31  111 221900.176 226024.449  1.86%   119  720s
H 4783  2588                    221909.91700 226024.449  1.85%   119  725s
  4797  2604 222997.306   49   99 221909.917 226024.449  1.85%   119  730s
  4824  2623 223713.134   40   92 221909.917 226021.632  1.85%   119  735s
