    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  8571  5036 158925.943   48  102 158835.843 160626.339  1.13%  91.2  720s
  8616  5059 160171.501   42  106 158835.843 160625.929  1.13%  91.2  729s
  8625  5068 159702.373   51   97 158835.843 160625.929  1.13%  91.3  730s
  8683  5106 159484.082   46   98 158835.843 160621.446  1.12%  91.3  735s
  8737  5144 159488.236   54  105 158835.843 160618.972  1.12%  91.5  740s
  8783  5168 160340.050   38  118 158835.843 160616.378  1.12%  91.5  745s
  8846  5211 159906.988   39  122 158835.843 160615.400  1.12%  91.7  750s
  8897  5246 160312.074   40  113 158835.843 160612.134  1.12%  91.8  755s
  8986  5294 160357.338   37  123 158835.843 160610.596  1.12%  91.7  762s
  9017  5314 160420.567   37  126 158835.843 160608.512  1.12%  91.7  765s
  9055  5352 159072.314   56   81 158835.843 160608.512  1.12%  91.8  770s
  9135  5414 158877.098   56   83 158835.843 160607.256  1.12%  91.9  775s
  9192  5451 159261.854   52   93 158835.843 160604.720  1.11%  91.9  780s
  9267  5512 160421.524   36  130 158835.843 160602.124  1.11%  91.9  786s
  9312  5549 159279.733   51  100 158835.843 160600.921  1.11%  92.0  790s
  9372  5587 159059.555   54   91 158835.843 160600.782  1.11%  92.0  795s
  9439  5619 160297.184   37  122 158835.843 160599.816  1.11%  92.1  800s
  9505  5667 159360.336   46  110 158835.843 160599.537  1.11%  92.0  805s
H 9528  5668                    158837.43203 160599.537  1.11%  92.0  810s
  9579  5711 159390.482   53   85 158837.432 160597.269  1.11%  92.2  815s
  9639  5754 160361.367   37  115 158837.432 160596.745  1.11%  92.3  821s
  9686  5785 159883.603   41  112 158837.432 160596.340  1.11%  92.3  825s
  9742  5829 159953.430   37  105 158837.432 160595.219  1.11%  92.6  830s
  9819  5870 160032.581   41  109 158837.432 160593.789  1.11%  92.5  835s
  9885  5920 159745.204   42  113 158837.432 160593.242  1.11%  92.5  840s
  9956  5965 159832.053   38  103 158837.432 160591.607  1.10%  92.6  845s
 10021  6018 158946.872   67   81 158837.432 160590.090  1.10%  92.7  850s
