Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1100 columns and 800 nonzeros
Model fingerprint: 0xc0da4112
Variable types: 800 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -8.24962e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1100 columns, 0 nonzeros
Variable types: 800 continuous, 300 integer (300 binary)
Found heuristic solution: objective -8.24962e+14

Root relaxation: objective 3.513363e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2400  1245 192368.688   32   97 191210.881 193387.585  1.14%   146  632s
  2421  1266 191800.546   39   88 191210.881 193387.585  1.14%   146  635s
  2435  1280 191365.589   52   65 191210.881 193387.585  1.14%   146  640s
  2447  1284 193208.141   20  138 191210.881 193384.357  1.14%   146  645s
  2454  1291 192325.453   27  109 191210.881 193384.357  1.14%   146  650s
  2473  1308 191220.065   46   74 191210.881 193384.357  1.14%   146  655s
  2480  1309 193131.003   23  131 191210.881 193383.714  1.14%   146  660s
  2486  1315 192728.286   29  125 191210.881 193383.714  1.14%   146  665s
  2503  1332 191681.525   46  105 191210.881 193383.714  1.14%   147  670s
  2516  1337 193006.218   20  145 191210.881 193364.849  1.13%   147  675s
  2534  1345 193315.369   18  142 191210.881 193364.813  1.13%   147  683s
  2535  1346 193247.556   19  140 191210.881 193364.813  1.13%   147  687s
  2541  1352 192830.561   22  126 191210.881 193364.813  1.13%   147  690s
  2565  1376 192124.322   32  105 191210.881 193364.813  1.13%   148  695s
  2572  1383 191392.142   36   95 191210.881 193364.813  1.13%   148  700s
  2591  1390 192481.526   24  117 191210.881 193362.996  1.13%   148  705s
  2598  1397 191775.509   31  104 191210.881 193362.996  1.13%   148  710s
  2621  1406 192294.049   27  102 191210.881 193362.872  1.13%   148  715s
  2648  1425 192570.408   28  117 191210.881 193359.491  1.12%   148  720s
  2678  1444 193220.534   20  142 191210.881 193358.927  1.12%   148  726s
  2696  1462 191962.382   38  108 191210.881 193358.927  1.12%   148  730s
  2717  1472 191247.258   49   96 191210.881 193358.927  1.12%   148  736s
  2728  1477 192627.248   27  123 191210.881 193358.104  1.12%   148  740s
  2752  1491 192915.022   19  136 191210.881 193358.098  1.12%   148  745s
  2783  1513 193294.291   18  144 191210.881 193357.430  1.12%   148  750s
  2804  1534 192305.845   32  100 191210.881 193357.430  1.12%   148  755s
  2842  1564 193008.421   19  147 191210.881 193357.193  1.12%   148  760s
  2860  1582 191584.926   37  114 191210.881 193357.193  1.12%   148  765s
  2877  1591 192263.328   25  109 191210.881 193356.448  1.12%   149  770s
  2897  1601 193077.319   21  144 191210.881 193350.891  1.12%   149  779s
  2900  1604 192856.324   24  132 191210.881 193350.891  1.12%   149  780s
  2908  1612 192284.947   32  125 191210.881 193350.891  1.12%   149  785s
  2932  1624 192826.303   21  133 191210.881 193350.533  1.12%   149  791s
  2953  1635 193026.050   21  124 191210.881 193349.899  1.12%   149  796s
  2972  1654 192312.231   31  105 191210.881 193349.899  1.12%   150  800s
  3005  1687 191305.371   47   76 191210.881 193349.899  1.12%   150  805s
  3026  1698 192670.240   21  131 191210.881 193349.585  1.12%   150  810s
  3064  1722 191213.047   30  105 191210.881 193349.585  1.12%   150  815s
  3084  1738 191861.279   36  120 191210.881 193349.504  1.12%   151  820s
  3110  1756 192096.651   27  117 191210.881 193349.107  1.12%   151  825s
  3114  1760 191849.858   31  116 191210.881 193349.107  1.12%   151  838s
  3130  1769 191212.452   42  104 191210.881 193349.107  1.12%   151  840s
  3158  1783 192825.467   19  142 191210.881 193341.582  1.11%   151  845s
  3184  1801     cutoff   41      191210.881 193341.582  1.11%   151  850s
  3201  1816 192284.488   31  109 191210.881 193340.397  1.11%   151  855s
  3233  1848 191474.656   43   81 191210.881 193340.397  1.11%   151  862s
  3252  1854 193098.826   22  134 191210.881 193335.342  1.11%   151  865s
  3282  1879 191242.995   49   85 191210.881 193335.342  1.11%   151  870s
  3305  1892 192090.523   34  126 191210.881 193332.338  1.11%   151  875s
  3324  1903 193149.548   22  126 191210.881 193330.364  1.11%   151  880s
  3346  1925 191415.759   44  107 191210.881 193330.364  1.11%   151  887s
  3356  1927 192565.526   23  127 191210.881 193328.303  1.11%   151  890s
  3384  1945 193125.519   22  128 191210.881 193327.839  1.11%   151  896s
  3398  1959 191431.094   36   82 191210.881 193327.839  1.11%   151  900s
  3417  1970 192325.443   32  119 191210.881 193325.256  1.11%   152  905s
  3438  1983 193116.587   20  136 191210.881 193316.923  1.10%   152  910s
  3460  2005 191612.008   42  106 191210.881 193316.923  1.10%   151  915s
  3479  2016 192545.336   25  125 191210.881 193310.805  1.10%   151  920s
  3489  2026 192002.942   29  113 191210.881 193310.805  1.10%   152  925s
  3511  2034 192708.654   22  126 191210.881 193309.538  1.10%   152  930s
  3529  2052 191555.328   40  109 191210.881 193309.538  1.10%   152  935s
  3563  2059 192503.051   28  128 191210.881 193309.259  1.10%   151  940s
  3593  2081 192995.152   21  137 191210.881 193309.110  1.10%   151  945s
  3616  2104 192065.799   31  112 191210.881 193309.110  1.10%   152  950s
  3653  2131 192660.692   24  123 191210.881 193306.696  1.10%   152  955s
  3678  2143 192676.457   21  131 191210.881 193305.384  1.10%   152  960s
  3708  2173 191611.332   36  100 191210.881 193305.384  1.10%   152  965s
  3731  2184 193107.137   22  134 191210.881 193305.209  1.10%   152  974s
