Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1400 columns and 1000 nonzeros
Model fingerprint: 0xaad40aff
Variable types: 1000 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1400 columns, 0 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.277190e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2805  1085 224144.414   30  149 223582.213 224424.519  0.38%   122  770s
  2834  1092 224280.778   28  164 223582.213 224424.044  0.38%   122  775s
  2861  1108 223965.715   32  150 223582.213 224423.167  0.38%   122  780s
  2879  1116 224189.478   28  157 223582.213 224422.868  0.38%   122  785s
  2909  1136 223949.735   34  140 223582.213 224422.863  0.38%   122  790s
  2939  1151 223800.910   36  145 223582.213 224415.028  0.37%   123  795s
  2957  1160 223717.113   37  136 223582.213 224411.637  0.37%   123  800s
  2988  1171 224347.632   27  164 223582.213 224403.776  0.37%   123  805s
  3002  1184 223585.545   41  129 223582.213 224403.776  0.37%   124  810s
  3025  1195 223606.465   39  134 223582.213 224401.663  0.37%   124  815s
  3040  1202 223736.238   36  130 223582.213 224401.611  0.37%   124  820s
  3075  1217 224044.341   28  152 223582.213 224393.241  0.36%   124  825s
  3097  1231     cutoff   34      223582.213 224393.241  0.36%   125  830s
  3127  1254 223617.334   39  130 223582.213 224391.887  0.36%   125  835s
  3152  1259 224066.993   32  151 223582.213 224389.094  0.36%   125  840s
  3181  1277 223599.962   41  127 223582.213 224388.905  0.36%   125  845s
  3213  1288 224159.071   27  170 223582.213 224386.007  0.36%   126  850s
  3242  1305     cutoff   39      223582.213 224381.655  0.36%   126  855s
  3274  1315 224132.751   27  171 223582.213 224375.593  0.35%   126  860s
  3297  1328 223871.007   34  133 223582.213 224374.633  0.35%   126  865s
  3324  1335 224058.707   27  163 223582.213 224373.623  0.35%   126  870s
  3357  1341 223912.749   31  150 223582.213 224373.623  0.35%   126  875s
  3398  1350 224050.774   29  155 223582.213 224373.199  0.35%   127  880s
  3433  1373 223738.716   34  144 223582.213 224373.053  0.35%   127  885s
  3468  1386 223958.168   30  143 223582.213 224370.550  0.35%   128  892s
  3489  1390 224245.832   29  155 223582.213 224368.564  0.35%   128  895s
  3521  1414 223631.438   36  142 223582.213 224360.658  0.35%   128  900s
  3549  1428 223972.511   29  153 223582.213 224356.859  0.35%   129  906s
  3574  1443 223683.295   35  140 223582.213 224354.655  0.35%   129  910s
  3589  1451 223619.612   35  151 223582.213 224353.293  0.34%   129  915s
  3613  1459 224063.727   29  145 223582.213 224349.308  0.34%   129  920s
  3640  1474 224151.554   26  162 223582.213 224348.052  0.34%   129  926s
  3650  1484 223666.143   36  134 223582.213 224348.052  0.34%   129  930s
  3675  1493 223746.615   36  137 223582.213 224346.471  0.34%   130  935s
