    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  6086  4216 178482.974   75   77 176659.855 182192.883  3.13%  96.3 1005s
  6144  4274 176896.943  104   42 176659.855 182192.883  3.13%  96.0 1010s
  6177  4288 181161.816   34  127 176659.855 182192.772  3.13%  96.1 1015s
  6204  4315 178868.621   47   86 176659.855 182192.772  3.13%  96.2 1020s
  6247  4358 177373.451   65   68 176659.855 182192.772  3.13%  96.2 1025s
  6286  4382 181265.706   32  130 176659.855 182183.852  3.13%  96.3 1030s
  6313  4409 178246.432   59  110 176659.855 182183.852  3.13%  96.4 1035s
  6346  4432 181035.376   32  137 176659.855 182176.640  3.12%  96.4 1040s
  6371  4457 178217.812   57  109 176659.855 182176.640  3.12%  96.6 1045s
  6402  4480 181265.092   35  125 176659.855 182176.329  3.12%  96.6 1050s
  6441  4519 178003.200   74   66 176659.855 182176.329  3.12%  96.6 1055s
  6475  4545 179752.248   45  103 176659.855 182173.169  3.12%  96.6 1060s
  6525  4580 176691.572   85   74 176659.855 182173.169  3.12%  96.4 1065s
  6543  4594 180185.450   43  122 176659.855 182161.880  3.11%  96.7 1070s
  6573  4624 179296.275   50  109 176659.855 182161.880  3.11%  97.0 1075s
  6613  4664 178149.579   67   78 176659.855 182161.880  3.11%  97.1 1080s
  6701  4733 181982.515   28  142 176659.855 182157.608  3.11%  96.4 1085s
  6723  4755 178877.861   50  101 176659.855 182157.608  3.11%  96.7 1090s
  6773  4789 180959.734   36  132 176659.855 182155.429  3.11%  96.6 1095s
  6800  4816 178299.444   63  103 176659.855 182155.429  3.11%  96.7 1100s
  6840  4848 180445.485   38  123 176659.855 182154.458  3.11%  96.6 1105s
  6897  4897 181352.427   33  140 176659.855 182143.148  3.10%  96.6 1111s
  6914  4914 179089.238   50  107 176659.855 182143.148  3.10%  96.6 1115s
  6953  4953 176839.277   89   83 176659.855 182143.148  3.10%  96.5 1120s
  6982  4974 180433.893   48  117 176659.855 182141.474  3.10%  96.6 1125s
  7029  5013 181651.721   28  145 176659.855 182123.805  3.09%  96.5 1130s
  7060  5044 177982.967   59  102 176659.855 182123.805  3.09%  96.7 1135s
  7091  5067 181435.652   34  143 176659.855 182122.725  3.09%  96.6 1140s
  7112  5088 178848.869   55  117 176659.855 182122.725  3.09%  96.7 1145s
  7147  5113 181953.317   33  148 176659.855 182115.084  3.09%  96.6 1150s
  7161  5127 180138.016   39  122 176659.855 182115.084  3.09%  97.0 1155s
  7191  5157 178454.915   55   88 176659.855 182115.084  3.09%  97.1 1160s
  7192  5158 178827.323   54   92 176659.855 182115.084  3.09%  97.1 1168s
  7204  5170 177768.759   61   75 176659.855 182115.084  3.09%  97.2 1170s
  7258  5190 181309.848   31  138 176659.855 182113.621  3.09%  97.1 1175s
  7287  5219 178215.450   60  105 176659.855 182113.621  3.09%  97.3 1180s
  7320  5238 180836.984   32  127 176659.855 182104.781  3.08%  97.2 1185s
  7345  5263 178485.474   57  102 176659.855 182104.781  3.08%  97.3 1190s
  7379  5289 181803.703   32  139 176659.855 182103.440  3.08%  97.3 1195s
  7404  5314 179779.339   44  104 176659.855 182103.440  3.08%  97.5 1200s
  7456  5366 177914.253   75   69 176659.855 182103.440  3.08%  97.5 1205s
  7516  5414 181503.225   32  137 176659.855 182100.259  3.08%  97.3 1210s
  7552  5450 178141.897   68   57 176659.855 182100.259  3.08%  97.3 1215s
H 7575  5027                    176998.20008 182100.259  2.88%  97.1 1215s
  7600  5044 180269.473   41  118 176998.200 182099.985  2.88%  97.3 1220s
  7629  5073 179394.635   56   99 176998.200 182099.985  2.88%  97.4 1225s
  7675  5119 177874.631   79   71 176998.200 182099.985  2.88%  97.5 1230s
  7716  5148 180270.740   37  127 176998.200 182099.220  2.88%  97.5 1235s
  7747  5179 177738.044   68  102 176998.200 182099.220  2.88%  97.5 1240s
  7772  5196 180119.220   39  119 176998.200 182098.174  2.88%  97.5 1245s
  7803  5227 177112.352   70   77 176998.200 182098.174  2.88%  97.5 1256s
  7812  5228 180435.715   37  130 176998.200 182097.986  2.88%  97.6 1260s
  7846  5262 177741.191   71   95 176998.200 182097.986  2.88%  97.6 1265s
  7875  5283 180431.175   40  130 176998.200 182088.843  2.88%  97.5 1270s
  7898  5306 178375.506   63  109 176998.200 182088.843  2.88%  97.5 1275s
  7933  5333 180557.163   41  121 176998.200 182086.545  2.87%  97.6 1280s
  7979  5372 181736.725   31  143 176998.200 182075.599  2.87%  97.5 1286s
  7993  5386 180380.697   45  116 176998.200 182075.599  2.87%  97.6 1290s
  8035  5420 181421.822   30  145 176998.200 182071.699  2.87%  97.6 1295s
  8049  5434 179731.025   44  120 176998.200 182071.699  2.87%  97.6 1301s
  8063  5448 178335.998   58  114 176998.200 182071.699  2.87%  97.6 1305s
  8094  5471 181198.603   32  145 176998.200 182071.149  2.87%  97.7 1310s
  8111  5488 180723.823   37  140 176998.200 182071.149  2.87%  97.9 1315s
  8139  5516 178797.750   49  100 176998.200 182071.149  2.87%  98.0 1320s
